Group,Cell,Young's Modulus [Pa],Contact Point [m],Baseline [N],ResidualRMS [N],Min Young's Modulus [Pa],Max Young's Modulus [Pa]
Control,1,154.96160000000003,1.0487420000000002e-05,7.374108e-11,1.3624300000000001e-11,137.98,167.36
Control,2,220.5482,1.132082e-05,1.2632426e-10,1.46423e-11,193.84,242.62
Control,3,186.5206,1.2651480000000001e-05,2.848092e-10,1.38813e-11,164.10,210.63
Control,4,392.0428,1.06277e-05,2.090694e-10,1.9567200000000002e-11,271.00,511.19
Control,5,838.0540000000001,9.696193999999999e-06,3.605596e-10,1.7283440000000003e-11,664.45,976.70
Control,6,495.2108,1.037416e-05,7.2937766e-11,1.70569e-11,455.78,520.49
Control,7,412.35380000000004,1.120144e-05,3.1863676e-10,2.383116e-11,375.98,501.74
Control,8,339.6778,1.0906e-05,3.114156e-10,1.5090720000000002e-11,315.57,380.30
Control,9,872.5894000000001,1.0223840000000001e-05,2.8207252e-10,2.436114e-11,730.02,1101.83
Control,10,982.0894000000001,1.0887580000000001e-05,1.4624675999999998e-10,3.024774e-11,782.50,1161.76
Control,11,143.848,9.47573e-05,-1.3201e-10,1.27294e-11,143.85,143.85
Treated,5,524.6514,2.108128e-05,1.7221420000000001e-10,2.534844e-11,381.52,605.98
Treated,6,791.0492,1.5537420000000003e-05,7.734858e-11,3.0934219999999997e-11,626.18,885.73
Treated,7,1761.58,1.1252079999999999e-05,1.567124e-10,1.892106e-11,1400.37,1964.58
Treated,12,824.8399999999999,1.1767249999999998e-05,2.1367449999999998e-10,2.8162350000000002e-11,786.56,846.98
