verticalTipPosition,vDeflection
5.8521815e-05,-8.98524e-11
5.8519247e-05,-9.068862e-11
5.8518955e-05,-6.365073e-11
5.851844e-05,-3.940027e-11
5.8515343e-05,-4.6647547e-11
5.8511454e-05,-6.365073e-11
5.851025e-05,-4.776248e-11
5.8508685e-05,-3.633413e-11
5.8506022e-05,-3.8285285e-11
5.850193e-05,-5.7797187e-11
5.849963e-05,-5.5288496e-11
5.849786e-05,-4.6368808e-11
5.8496567e-05,-3.1595546e-11
5.8493337e-05,-4.0515234e-11
5.8488673e-05,-6.6995645e-11
5.848624e-05,-6.615942e-11
5.84849e-05,-5.1943613e-11
5.848299e-05,-4.4696365e-11
5.8479625e-05,-5.5288496e-11
5.8476486e-05,-6.309325e-11
5.8473826e-05,-6.5044435e-11
5.8472076e-05,-5.5846005e-11
5.847092e-05,-3.940027e-11
5.846819e-05,-4.2187677e-11
5.8463662e-05,-6.6995645e-11
5.8462072e-05,-5.5846005e-11
5.846023e-05,-4.776248e-11
5.845771e-05,-4.8041248e-11
5.845402e-05,-6.2535796e-11
5.8450816e-05,-7.1176745e-11
5.844966e-05,-5.4731043e-11
5.8448273e-05,-4.1072742e-11
5.8445454e-05,-4.497508e-11
5.8441427e-05,-6.365073e-11
5.8439426e-05,-5.7518445e-11
5.84387e-05,-3.577665e-11
5.843616e-05,-3.633413e-11
5.843149e-05,-6.281451e-11
5.8428806e-05,-6.5044435e-11
5.842674e-05,-5.9748366e-11
5.842513e-05,-4.8877468e-11
5.842281e-05,-4.6647547e-11
5.8418966e-05,-6.309325e-11
5.8416852e-05,-5.835467e-11
5.8414418e-05,-5.7518445e-11
5.8412625e-05,-4.8877468e-11
5.8410853e-05,-3.9957752e-11
5.8407873e-05,-4.58113e-11
5.8404552e-05,-5.5846005e-11
5.840228e-05,-5.30586e-11
5.8398728e-05,-6.5880655e-11
5.839664e-05,-6.086333e-11
5.83953e-05,-4.6647547e-11
5.839257e-05,-4.943495e-11
5.838934e-05,-5.835467e-11
5.8386704e-05,-6.002711e-11
5.8384976e-05,-5.054991e-11
5.838245e-05,-5.082865e-11
5.8379654e-05,-5.4452276e-11
5.8376925e-05,-5.723968e-11
5.8374655e-05,-5.4452276e-11
5.8373156e-05,-4.2187677e-11
5.8369813e-05,-5.2501094e-11
5.8366968e-05,-5.6682225e-11
5.8364352e-05,-5.8075898e-11
5.836272e-05,-4.7483767e-11
5.8360558e-05,-4.3302636e-11
5.8356123e-05,-6.6995645e-11
5.835426e-05,-5.919089e-11
5.835217e-05,-5.417356e-11
5.8349666e-05,-5.417356e-11
5.834801e-05,-4.3860145e-11
5.8344598e-05,-5.500978e-11
5.8341982e-05,-5.640346e-11
5.8340687e-05,-4.1630196e-11
5.833844e-05,-3.856405e-11
5.8334048e-05,-6.1699576e-11
5.8330887e-05,-6.978305e-11
5.832964e-05,-5.4452276e-11
5.8328023e-05,-4.3581402e-11
5.832541e-05,-4.497508e-11
5.8322476e-05,-5.027117e-11
5.8318245e-05,-7.145549e-11
5.8316607e-05,-6.086333e-11
5.8315407e-05,-4.497508e-11
5.831263e-05,-4.831999e-11
5.8309175e-05,-6.002711e-11
5.8305923e-05,-6.922556e-11
5.8304468e-05,-5.640346e-11
5.8302743e-05,-4.692626e-11
5.830063e-05,-4.2187677e-11
5.829585e-05,-7.006178e-11
5.8294056e-05,-6.142081e-11
5.829331e-05,-3.9957752e-11
5.8289872e-05,-5.138616e-11
5.828694e-05,-5.6682225e-11
5.828437e-05,-5.7518445e-11
5.8281526e-05,-6.1699576e-11
5.8279824e-05,-5.1943613e-11
5.8277048e-05,-5.5288496e-11
5.8274687e-05,-5.3616056e-11
5.827182e-05,-5.8075898e-11
5.826836e-05,-6.978305e-11
5.8266545e-05,-6.142081e-11
5.8265367e-05,-4.5253846e-11
5.8263322e-05,-3.9679014e-11
5.825918e-05,-5.9748366e-11
5.8256108e-05,-6.6716875e-11
5.8254474e-05,-5.6124716e-11
5.8253387e-05,-3.8842794e-11
5.825052e-05,-4.3302636e-11
5.8245852e-05,-6.978305e-11
5.8243262e-05,-7.089801e-11
5.8242036e-05,-5.5288496e-11
5.8240606e-05,-4.2187677e-11
5.8237605e-05,-4.831999e-11
5.823385e-05,-6.365073e-11
5.8231875e-05,-5.723968e-11
5.8230467e-05,-4.3860145e-11
5.8228194e-05,-4.1072742e-11
5.822339e-05,-6.922556e-11
5.82195e-05,-8.6228774e-11
5.8219233e-05,-5.8912146e-11
5.8219877e-05,-2.0445905e-11
5.8215985e-05,-3.7449065e-11
5.821075e-05,-7.089801e-11
5.820866e-05,-6.5880655e-11
5.820796e-05,-4.3860145e-11
5.820514e-05,-4.776248e-11
5.8201273e-05,-6.448698e-11
5.8198202e-05,-7.145549e-11
5.8197227e-05,-5.2779833e-11
5.8196e-05,-3.717035e-11
5.8192043e-05,-5.500978e-11
5.8189155e-05,-5.9748366e-11
5.8186928e-05,-5.640346e-11
5.8184858e-05,-5.1107393e-11
5.8182108e-05,-5.417356e-11
5.8179172e-05,-5.946963e-11
5.8176833e-05,-5.7518445e-11
5.8174923e-05,-5.027117e-11
5.8172584e-05,-4.831999e-11
5.8169033e-05,-6.114207e-11
5.8166257e-05,-6.448698e-11
5.8164806e-05,-5.1664874e-11
5.8162692e-05,-4.692626e-11
5.81596e-05,-5.417356e-11
5.8156347e-05,-6.3372016e-11
5.8153593e-05,-6.643813e-11
5.8152575e-05,-4.831999e-11
5.8150712e-05,-4.0515234e-11
5.8146798e-05,-5.7797187e-11
5.8143363e-05,-6.922556e-11
5.8142276e-05,-5.1943613e-11
5.81408e-05,-3.940027e-11
5.813691e-05,-5.640346e-11
5.813229e-05,-8.232641e-11
5.8131518e-05,-6.114207e-11
5.8130863e-05,-3.856405e-11
5.812898e-05,-3.1038037e-11
5.8124086e-05,-6.030585e-11
5.8120626e-05,-7.201299e-11
5.8119473e-05,-5.5567235e-11
5.8118974e-05,-3.1038037e-11
5.8116246e-05,-3.382544e-11
5.811067e-05,-7.145549e-11
5.8107347e-05,-8.149016e-11
5.8108402e-05,-3.800657e-11
5.8106267e-05,-3.3546728e-11
5.81016e-05,-6.002711e-11
5.809769e-05,-7.730906e-11
5.8096553e-05,-6.0584586e-11
5.809526e-05,-4.58113e-11
5.809383e-05,-3.271048e-11
5.808953e-05,-5.4731043e-11
5.8085116e-05,-7.814528e-11
5.808421e-05,-5.8633404e-11
5.808371e-05,-3.4104206e-11
5.8080073e-05,-4.8041248e-11
5.8076115e-05,-6.5880655e-11
5.807375e-05,-6.4208236e-11
5.8072706e-05,-4.6368808e-11
5.807057e-05,-4.1908962e-11
5.8066795e-05,-5.7518445e-11
5.8063815e-05,-6.3372016e-11
5.8061996e-05,-5.500978e-11
5.8061363e-05,-3.2153e-11
5.80572e-05,-5.2501094e-11
5.805356e-05,-6.643813e-11
5.8052974e-05,-4.3023897e-11
5.8051086e-05,-3.5497882e-11
5.8047015e-05,-5.4731043e-11
5.8043213e-05,-7.061927e-11
5.8041922e-05,-5.5846005e-11
5.8041063e-05,-3.577665e-11
5.8038924e-05,-3.1316776e-11
5.8034624e-05,-5.3337314e-11
5.8029593e-05,-8.4277564e-11
5.8028643e-05,-6.53232e-11
5.8029105e-05,-2.9086854e-11
5.8026468e-05,-3.0759322e-11
5.802055e-05,-7.257045e-11
5.801757e-05,-7.8424024e-11
5.801728e-05,-5.138616e-11
5.801644e-05,-3.1038037e-11
5.8012414e-05,-4.971369e-11
5.80082e-05,-7.061927e-11
5.8006066e-05,-6.615942e-11
5.80045e-05,-5.4731043e-11
5.8002955e-05,-4.3023897e-11
5.7999932e-05,-4.943495e-11
5.7995927e-05,-6.7831865e-11
5.799329e-05,-6.9504305e-11
5.799154e-05,-6.030585e-11
5.799066e-05,-4.0515234e-11
5.798663e-05,-5.919089e-11
5.79834e-05,-6.81106e-11
5.7982128e-05,-5.30586e-11
