verticalTipPosition,vDeflection
6.5374e-05,-6.8889276e-11
6.537081e-05,-8.348678e-11
6.536808e-05,-8.835264e-11
6.5366556e-05,-6.77664e-11
6.536388e-05,-7.1509354e-11
6.536207e-05,-5.6911854e-11
6.535945e-05,-5.953193e-11
6.535563e-05,-8.7604035e-11
6.535443e-05,-5.9906205e-11
6.5353146e-05,-3.4079864e-11
6.534899e-05,-6.9263574e-11
6.534639e-05,-7.1509354e-11
6.5344306e-05,-6.252628e-11
6.534165e-05,-6.589493e-11
6.5339205e-05,-6.477204e-11
6.5336826e-05,-6.2151985e-11
6.533401e-05,-6.8889276e-11
6.5331194e-05,-7.562661e-11
6.5330125e-05,-4.53087e-11
6.53269e-05,-6.0654794e-11
6.532447e-05,-5.9157616e-11
6.532187e-05,-6.1403396e-11
6.5318505e-05,-7.9743843e-11
6.531627e-05,-7.412943e-11
6.531502e-05,-4.7554467e-11
6.5311644e-05,-6.626922e-11
6.530877e-05,-7.412943e-11
6.5306536e-05,-6.8515006e-11
6.5303684e-05,-7.6000886e-11
6.5301625e-05,-6.664353e-11
6.5299304e-05,-6.2900574e-11
6.529666e-05,-6.589493e-11
6.529395e-05,-7.0386474e-11
6.5290995e-05,-8.0118134e-11
6.528959e-05,-5.6911854e-11
6.528695e-05,-5.9906205e-11
6.5283835e-05,-7.300653e-11
6.5281456e-05,-7.0386474e-11
6.52792e-05,-6.514634e-11
6.527684e-05,-6.2151985e-11
6.527403e-05,-6.8889276e-11
6.527075e-05,-8.535827e-11
6.5269014e-05,-6.9263574e-11
6.526678e-05,-6.364916e-11
6.526424e-05,-6.439775e-11
6.5261724e-05,-6.477204e-11
6.525924e-05,-6.439775e-11
6.5256216e-05,-7.562661e-11
6.525435e-05,-6.2151985e-11
6.525208e-05,-5.7286148e-11
6.524927e-05,-6.402346e-11
6.524623e-05,-7.525231e-11
6.524324e-05,-8.573257e-11
6.524157e-05,-6.814071e-11
6.5239765e-05,-5.3543208e-11
6.523654e-05,-6.8889276e-11
6.523436e-05,-6.2151985e-11
6.523126e-05,-7.4878e-11
6.5228814e-05,-7.375512e-11
6.522626e-05,-7.4878e-11
6.522408e-05,-6.814071e-11
6.522156e-05,-6.8515006e-11
6.521855e-05,-7.9369546e-11
6.5217144e-05,-5.6163248e-11
6.521401e-05,-6.9637886e-11
6.5211105e-05,-7.8246666e-11
6.520979e-05,-5.3168896e-11
6.52066e-05,-6.77664e-11
6.520376e-05,-7.4878e-11
6.520137e-05,-7.263224e-11
6.5198925e-05,-7.1509354e-11
6.519706e-05,-5.8034737e-11
6.519375e-05,-7.525231e-11
6.519081e-05,-8.460968e-11
6.518942e-05,-6.1029105e-11
6.518673e-05,-6.514634e-11
6.5184126e-05,-6.7392106e-11
6.518212e-05,-5.6911854e-11
6.5179214e-05,-6.552063e-11
6.517654e-05,-6.9263574e-11
6.5174565e-05,-5.8034737e-11
6.5171436e-05,-7.1509354e-11
6.5168635e-05,-7.7872354e-11
6.516649e-05,-7.0386474e-11
6.516434e-05,-6.2900574e-11
6.5161934e-05,-6.1029105e-11
6.5159606e-05,-5.7286148e-11
6.51567e-05,-6.589493e-11
6.515401e-05,-7.001218e-11
6.515147e-05,-7.0760765e-11
6.5149296e-05,-6.402346e-11
6.514646e-05,-7.113506e-11
6.514369e-05,-7.674949e-11
6.5142005e-05,-5.953193e-11
6.513887e-05,-7.300653e-11
6.513657e-05,-6.8889276e-11
6.513433e-05,-6.327487e-11
6.5131004e-05,-8.086672e-11
6.512897e-05,-7.113506e-11
6.512613e-05,-7.8246666e-11
6.512393e-05,-7.188365e-11
6.5121785e-05,-6.439775e-11
6.511911e-05,-6.814071e-11
6.511633e-05,-7.412943e-11
6.511432e-05,-6.364916e-11
6.5111664e-05,-6.701781e-11
6.5109074e-05,-6.8889276e-11
6.51064e-05,-7.263224e-11
6.510429e-05,-6.439775e-11
6.510223e-05,-5.5040382e-11
6.509895e-05,-7.1509354e-11
6.509651e-05,-7.0386474e-11
6.5094115e-05,-6.814071e-11
6.509195e-05,-6.1029105e-11
6.508933e-05,-6.364916e-11
6.508695e-05,-6.1029105e-11
6.508371e-05,-7.674949e-11
6.5081724e-05,-6.589493e-11
6.507928e-05,-6.477204e-11
6.507623e-05,-7.637518e-11
6.5074244e-05,-6.552063e-11
6.507128e-05,-7.525231e-11
6.506916e-05,-6.7392106e-11
6.5066284e-05,-7.525231e-11
6.5063716e-05,-7.674949e-11
6.506185e-05,-6.327487e-11
6.505926e-05,-6.514634e-11
6.505678e-05,-6.477204e-11
6.505374e-05,-7.637518e-11
6.505172e-05,-6.626922e-11
6.5049324e-05,-6.402346e-11
6.5046945e-05,-6.1403396e-11
6.504423e-05,-6.589493e-11
