verticalTipPosition,vDeflection
5.9094637e-05,-9.41476e-11
5.909102e-05,-1.078059e-10
5.9088314e-05,-1.10314535e-10
5.9087542e-05,-8.913022e-11
5.9086342e-05,-7.3241996e-11
5.9084115e-05,-6.9897116e-11
5.9080612e-05,-8.216174e-11
5.9077152e-05,-9.386883e-11
5.9075428e-05,-8.439161e-11
5.907493e-05,-5.986241e-11
5.9071608e-05,-6.9897116e-11
5.9067628e-05,-8.801526e-11
5.906615e-05,-7.547192e-11
5.9064972e-05,-5.9304985e-11
5.906188e-05,-6.655223e-11
5.905726e-05,-9.247516e-11
5.9053757e-05,-1.0473973e-10
5.9053076e-05,-8.244045e-11
5.9051374e-05,-7.268452e-11
5.904803e-05,-8.2997935e-11
5.9045142e-05,-8.773655e-11
5.9042868e-05,-8.494909e-11
5.9040412e-05,-8.439161e-11
5.903889e-05,-7.240575e-11
5.9036072e-05,-7.630811e-11
5.9031543e-05,-1.0111608e-10
5.9029793e-05,-9.1917626e-11
5.9028047e-05,-8.2719165e-11
5.9026046e-05,-7.658693e-11
5.902309e-05,-8.216174e-11
5.9019883e-05,-9.0802664e-11
5.901763e-05,-8.773655e-11
5.901588e-05,-7.8538086e-11
5.9013768e-05,-7.379948e-11
5.901111e-05,-7.5750635e-11
5.900815e-05,-8.132544e-11
5.9004626e-05,-9.386883e-11
5.9002854e-05,-8.494909e-11
5.900049e-05,-8.327665e-11
5.899783e-05,-8.522786e-11
5.899615e-05,-7.5193206e-11
5.899253e-05,-8.885151e-11
5.899003e-05,-8.885151e-11
5.898787e-05,-8.4670375e-11
5.898585e-05,-7.88168e-11
5.8983005e-05,-8.2997935e-11
5.897918e-05,-9.9164926e-11
5.897666e-05,-9.944364e-11
5.8975595e-05,-8.188297e-11
5.897341e-05,-7.798055e-11
5.8970047e-05,-8.8572795e-11
5.8966816e-05,-9.749248e-11
5.896461e-05,-9.386883e-11
5.8962225e-05,-9.247516e-11
5.8960293e-05,-8.550662e-11
5.8958703e-05,-7.435696e-11
5.895545e-05,-8.355541e-11
5.89514e-05,-1.02509806e-10
5.8949354e-05,-9.6934946e-11
5.8948084e-05,-8.188297e-11
5.894604e-05,-7.630811e-11
5.8943424e-05,-7.770184e-11
5.8939557e-05,-9.4426314e-11
5.8937625e-05,-8.745778e-11
5.893651e-05,-7.0454594e-11
5.893344e-05,-7.742313e-11
5.89293e-05,-9.749248e-11
5.8926278e-05,-1.0390348e-10
5.8925074e-05,-8.801526e-11
5.8924124e-05,-6.906087e-11
5.892028e-05,-8.550662e-11
5.891732e-05,-9.108143e-11
5.8914913e-05,-8.9966416e-11
5.8912367e-05,-9.052395e-11
5.890991e-05,-8.9966416e-11
5.8907022e-05,-9.470503e-11
5.8905385e-05,-8.41129e-11
5.8902315e-05,-9.108143e-11
5.8899815e-05,-9.108143e-11
5.8897313e-05,-9.108143e-11
5.889454e-05,-9.4426314e-11
5.889261e-05,-8.745778e-11
5.8890564e-05,-8.188297e-11
5.888674e-05,-9.8049964e-11
5.8883714e-05,-1.04461016e-10
5.8883128e-05,-8.1046725e-11
5.8881746e-05,-6.738842e-11
5.8877376e-05,-9.024518e-11
5.887319e-05,-1.1087202e-10
5.887135e-05,-1.02788576e-10
5.8870966e-05,-7.6865646e-11
5.886817e-05,-8.048925e-11
5.8864825e-05,-9.0802664e-11
5.8862006e-05,-9.470503e-11
5.885882e-05,-1.0306729e-10
5.885794e-05,-8.327665e-11
5.8855596e-05,-8.132544e-11
5.8851547e-05,-1.0027983e-10
5.884836e-05,-1.08642095e-10
5.8847843e-05,-8.439161e-11
5.8846777e-05,-6.6830944e-11
5.884439e-05,-6.543721e-11
5.8839087e-05,-9.9722404e-11
5.8835765e-05,-1.0975706e-10
5.883525e-05,-8.550662e-11
5.8833815e-05,-7.240575e-11
5.8830337e-05,-8.439161e-11
5.8826263e-05,-1.0362477e-10
5.882463e-05,-9.303258e-11
5.882274e-05,-8.550662e-11
5.882047e-05,-8.2719165e-11
5.881845e-05,-7.6865646e-11
5.8814578e-05,-9.3590066e-11
5.8811645e-05,-9.8886156e-11
5.8810012e-05,-8.829397e-11
5.8808695e-05,-7.379948e-11
5.8805443e-05,-8.2997935e-11
5.88018e-05,-9.6934946e-11
5.880003e-05,-8.801526e-11
5.879869e-05,-7.379948e-11
5.8795893e-05,-7.742313e-11
5.8792048e-05,-9.386883e-11
5.8789617e-05,-9.303258e-11
5.8788002e-05,-8.216174e-11
5.8785e-05,-8.829397e-11
5.8782545e-05,-8.773655e-11
5.8780388e-05,-8.355541e-11
5.8778136e-05,-8.048925e-11
5.8775087e-05,-8.717906e-11
5.8772224e-05,-9.1638856e-11
5.877004e-05,-8.773655e-11
5.876859e-05,-7.4914436e-11
5.8765632e-05,-8.048925e-11
5.8761765e-05,-9.721377e-11
5.8760357e-05,-8.383418e-11
5.875795e-05,-8.2719165e-11
5.8755515e-05,-8.188297e-11
5.875299e-05,-8.216174e-11
5.8749352e-05,-9.6098754e-11
5.874692e-05,-9.5262506e-11
5.8745693e-05,-7.9653e-11
5.8743215e-05,-7.9374285e-11
5.8739894e-05,-8.940899e-11
5.873696e-05,-9.470503e-11
5.873644e-05,-7.0454594e-11
5.8734466e-05,-6.404354e-11
5.8729984e-05,-8.829397e-11
5.872639e-05,-1.0167356e-10
5.872489e-05,-8.940899e-11
5.8724007e-05,-6.96184e-11
5.8720823e-05,-7.798055e-11
5.8715723e-05,-1.0975706e-10
5.871409e-05,-9.9164926e-11
5.8714824e-05,-5.958369e-11
5.8711663e-05,-6.7667136e-11
5.870652e-05,-1.0000112e-10
5.870454e-05,-9.3590066e-11
5.8702608e-05,-8.662153e-11
5.8700472e-05,-8.216174e-11
5.869879e-05,-7.2127034e-11
5.8695903e-05,-7.6865646e-11
5.8692014e-05,-9.386883e-11
5.8690286e-05,-8.439161e-11
5.868813e-05,-8.021053e-11
5.868508e-05,-8.690035e-11
5.868224e-05,-9.108143e-11
5.8680376e-05,-8.327665e-11
5.8677873e-05,-8.327665e-11
5.8675716e-05,-7.909557e-11
5.8672988e-05,-8.188297e-11
5.8670965e-05,-7.60294e-11
5.8667916e-05,-8.2719165e-11
5.8664664e-05,-9.1917626e-11
5.866264e-05,-8.606405e-11
5.8661073e-05,-7.463567e-11
5.8658527e-05,-7.5193206e-11
5.8654616e-05,-9.247516e-11
