verticalTipPosition,vDeflection
5.96897e-05,-1.0357157e-10
5.9686998e-05,-1.0608023e-10
5.9684928e-05,-1.00784166e-10
5.9681654e-05,-1.1026136e-10
5.968109e-05,-8.656836e-11
5.967984e-05,-7.1237585e-11
5.9676655e-05,-7.959982e-11
5.9672766e-05,-9.660303e-11
5.967156e-05,-8.071478e-11
5.966954e-05,-7.4861235e-11
5.9665992e-05,-8.768331e-11
5.9663766e-05,-8.433843e-11
5.9660146e-05,-9.7996736e-11
5.9659058e-05,-8.071478e-11
5.9655897e-05,-8.8798274e-11
5.9653397e-05,-8.8798274e-11
5.9651305e-05,-8.378095e-11
5.9648508e-05,-8.740458e-11
5.9646987e-05,-7.541871e-11
5.9643553e-05,-8.6847064e-11
5.9641072e-05,-8.656836e-11
5.9638525e-05,-8.7125834e-11
5.9635935e-05,-8.82408e-11
5.963339e-05,-8.8798274e-11
5.9630158e-05,-9.771799e-11
5.9627087e-05,-1.046865e-10
5.962602e-05,-8.7125834e-11
5.9625298e-05,-6.538404e-11
5.9621318e-05,-8.350221e-11
5.9616606e-05,-1.1054007e-10
5.961488e-05,-1.0106287e-10
5.9614133e-05,-7.959982e-11
5.9611906e-05,-7.625493e-11
5.9608446e-05,-8.7962054e-11
5.9604943e-05,-1.0022665e-10
5.960365e-05,-8.5453394e-11
5.9601698e-05,-7.87636e-11
5.9597714e-05,-9.688177e-11
5.9595055e-05,-9.8832956e-11
5.959378e-05,-8.378095e-11
5.959117e-05,-8.517465e-11
5.9588827e-05,-8.322344e-11
5.9585323e-05,-9.548804e-11
5.958264e-05,-9.771799e-11
5.9581074e-05,-8.6289614e-11
5.9579346e-05,-7.681242e-11
5.95758e-05,-8.963452e-11
5.9573365e-05,-8.8798274e-11
5.9571183e-05,-8.489591e-11
5.956907e-05,-8.0157325e-11
5.9566275e-05,-8.378095e-11
5.9562404e-05,-1.00505396e-10
5.9559654e-05,-1.0357157e-10
5.9558657e-05,-8.517465e-11
5.9557522e-05,-6.845018e-11
5.9553702e-05,-8.4617174e-11
5.954988e-05,-1.00784166e-10
5.9548038e-05,-9.270064e-11
5.9547132e-05,-7.3188795e-11
5.9544607e-05,-7.346753e-11
5.9541835e-05,-7.681242e-11
5.9536986e-05,-1.0552275e-10
5.9534894e-05,-1.00505396e-10
5.953458e-05,-7.3746245e-11
5.9532034e-05,-7.430375e-11
5.9528327e-05,-8.907702e-11
5.952512e-05,-9.771799e-11
5.9523667e-05,-8.489591e-11
5.9521666e-05,-7.87636e-11
5.951846e-05,-8.740458e-11
5.951521e-05,-9.660303e-11
5.951298e-05,-9.3258144e-11
5.9511345e-05,-8.266599e-11
5.950848e-05,-8.7125834e-11
5.950534e-05,-9.493059e-11
5.950334e-05,-8.8798274e-11
5.9500544e-05,-9.2421924e-11
5.9498474e-05,-8.7125834e-11
5.9496204e-05,-8.433843e-11
5.9494e-05,-8.071478e-11
5.949193e-05,-7.541871e-11
5.9488768e-05,-8.350221e-11
5.9485355e-05,-9.465185e-11
5.9483606e-05,-8.5453394e-11
5.948124e-05,-8.378095e-11
5.947865e-05,-8.489591e-11
5.9476148e-05,-8.489591e-11
5.9473696e-05,-8.433843e-11
5.947117e-05,-8.4617174e-11
5.9468624e-05,-8.517465e-11
5.946603e-05,-8.6289614e-11
5.9463484e-05,-8.6847064e-11
5.9460734e-05,-8.991324e-11
5.945821e-05,-9.019198e-11
5.945605e-05,-8.6010844e-11
5.945355e-05,-8.6010844e-11
5.9451413e-05,-8.1551e-11
5.9448685e-05,-8.433843e-11
5.9446662e-05,-7.848486e-11
5.9443864e-05,-8.210851e-11
5.944084e-05,-8.851954e-11
5.9438225e-05,-8.991324e-11
5.94365e-05,-8.043604e-11
5.943409e-05,-7.9321105e-11
5.9431724e-05,-7.764864e-11
5.94282e-05,-9.019198e-11
5.942586e-05,-8.82408e-11
5.942477e-05,-7.095884e-11
5.9421676e-05,-7.8206115e-11
