Filename	Position Index	X Position	Y Position	Young's Modulus [Pa]	Contact Point [m]	Baseline [N]	Discontinuity Position	Discontinuity Width [m]	Adhesion [N]	ResidualRMS [N]
force-save-2011.03.22-19.47.49.jpk-force				320.675	1.11002e-05	3.51431e-10		0.00000	0.00000	1.68752e-11
force-save-2011.03.22-19.49.13.jpk-force				380.299	1.06099e-05	4.58006e-10		0.00000	0.00000	1.93320e-11
force-save-2011.03.22-19.51.24.jpk-force				1101.83	1.02362e-05	5.06244e-10		0.00000	0.00000	2.54443e-11
force-save-2011.03.22-19.52.48.jpk-force				776.200	1.02802e-05	5.56687e-10		0.00000	0.00000	3.50101e-11
force-save-2011.03.22-19.54.12.jpk-force				957.749	1.02183e-05	8.56966e-11		0.00000	0.00000	2.12955e-11
force-save-2011.03.22-19.55.36.jpk-force				730.016	1.02377e-05	1.01841e-10		0.00000	0.00000	1.84264e-11
force-save-2011.03.22-19.57.00.jpk-force				797.195	1.01467e-05	1.59925e-10		0.00000	0.00000	2.16407e-11
force-save-2011.03.22-19.59.46.jpk-force				1161.95	1.07369e-05	7.25047e-11		0.00000	0.00000	3.12125e-11
force-save-2011.03.22-20.01.10.jpk-force				1028.64	1.06716e-05	1.19624e-10		0.00000	0.00000	2.75621e-11
force-save-2011.03.22-20.02.34.jpk-force				1039.84	1.08181e-05	1.26030e-10		0.00000	0.00000	3.28968e-11
force-save-2011.03.22-20.03.58.jpk-force				897.811	1.10830e-05	1.72541e-10		0.00000	0.00000	2.86794e-11
force-save-2011.03.22-20.05.22.jpk-force				782.416	1.11282e-05	2.40673e-10		0.00000	0.00000	3.08900e-11
force-save-2014.05.23-17.50.39.jpk-force				143.842	9.47573e-05	-1.32052e-10		0.00000	0.00000	1.27208e-11
