Filename	Position Index	X Position	Y Position	Young's Modulus [Pa]	Contact Point [m]	Baseline [N]	Discontinuity Position	Discontinuity Width [m]	Adhesion [N]	ResidualRMS [N]
force-save-2011.03.31-22.36.58.jpk-force				605.979	2.07361e-05	1.50213e-10		0.00000	0.00000	2.48043e-11
force-save-2011.03.31-22.38.22.jpk-force				381.520	2.12675e-05	1.65397e-10		0.00000	0.00000	2.33271e-11
force-save-2011.03.31-22.39.45.jpk-force				552.746	2.10469e-05	1.74517e-10		0.00000	0.00000	1.52192e-11
force-save-2011.03.31-22.41.10.jpk-force				508.115	2.10534e-05	1.92392e-10		0.00000	0.00000	3.76833e-11
force-save-2011.03.31-22.42.34.jpk-force				574.897	2.13025e-05	1.78552e-10		0.00000	0.00000	2.57083e-11
force-save-2011.03.31-22.45.17.jpk-force				769.295	1.51557e-05	2.60470e-10		0.00000	0.00000	2.41552e-11
force-save-2011.03.31-22.46.42.jpk-force				835.308	1.52445e-05	-1.22638e-11		0.00000	0.00000	2.81854e-11
force-save-2011.03.31-22.48.06.jpk-force				838.737	1.54961e-05	1.45839e-11		0.00000	0.00000	3.83696e-11
force-save-2011.03.31-22.49.30.jpk-force				885.730	1.56932e-05	4.37252e-11		0.00000	0.00000	3.68438e-11
force-save-2011.03.31-22.50.54.jpk-force				626.176	1.60976e-05	8.02276e-11		0.00000	0.00000	2.71171e-11
force-save-2011.03.31-22.53.24.jpk-force				1400.37	1.11540e-05	1.26778e-10		0.00000	0.00000	1.78822e-11
force-save-2011.03.31-22.54.49.jpk-force				1841.92	1.12287e-05	1.25954e-10		0.00000	0.00000	1.50943e-11
force-save-2011.03.31-22.56.13.jpk-force				1964.58	1.12784e-05	1.77025e-10		0.00000	0.00000	2.87832e-11
force-save-2011.03.31-22.57.37.jpk-force				1777.95	1.13289e-05	1.67346e-10		0.00000	0.00000	1.70096e-11
force-save-2011.03.31-22.59.01.jpk-force				1823.08	1.12704e-05	1.86459e-10		0.00000	0.00000	1.58360e-11
force-save-2011.03.31-23.38.32.jpk-force				833.028	1.17220e-05	2.10503e-10		0.00000	0.00000	2.66130e-11
force-save-2011.03.31-23.39.56.jpk-force				846.978	1.16993e-05	2.11721e-10		0.00000	0.00000	3.32722e-11
force-save-2011.03.31-23.42.44.jpk-force				832.790	1.19303e-05	2.10102e-10		0.00000	0.00000	2.91671e-11
force-save-2011.03.31-23.44.08.jpk-force				786.564	1.17174e-05	2.22372e-10		0.00000	0.00000	2.35971e-11
